skill,tech_level_required,specialization_required,description,defaults,difficulty,attribute,modifiers
Sex Appeal,,,"This is the ability to impress those who are attracted to members of your sex. It has as much to do with attitude as it does with looks. If you are not willing to “vamp” someone to get what you want, you won’t have this skill – or want it. 

You may substitute an Influence roll against Sex Appeal for any reaction roll made by someone who is attracted to members of your sex; see Influence Rolls (p. 359). 

Usually, you may make only one attempt per “target,” although the GM might allow another attempt after a few weeks. ",HT-3,Average,Health,+2 for Voice (p. 97); -3 for Low Empathy (p. 142); -1 for Oblivious (p. 146); -1 to -4 for Shyness (p. 154); -2 for Stuttering (p. 157). Apply any bonus for above-average appearance (p. 21) – or double the penalty for below-average appearance!
Shadowing,,,"This is the ability to follow another person through a crowd without being noticed. (In the wilderness, use Tracking and Stealth.) Roll a Quick Contest every 10 minutes: your Shadowing vs. the subject’s Vision roll. If you lose, you lost the subject; if you lose by more than 5, you were seen. 

Once the subject is aware you are shadowing him, roll a Quick Contest every five minutes: your Shadowing skill vs. his Shadowing or Stealth skill. If he wins, he eludes you. If he loses by more than 5, he thinks he eluded you. If you critically fail, you lose him and follow the wrong person. 

Following someone in a vehicle is harder than shadowing on foot. Use the same rules, but you roll at -2 (and may not use your Stealth default). ","IQ-5, Observation-5, or Stealth-4 (on foot only). ",Average,Intelligence,"-3 if the subject knows you. Distinctive appearance gives a penalty – see Build (p. 18), Unnatural Features (p. 22), and specific disadvantages (e.g., Hunchback, p. 139) for details. If you belong to a visibly different race than most of the people around you, the penalty is up to the GM; it is never smaller in magnitude than the difference between your Size Modifier and that of those around you."
Shield,,TRUE,"This is the ability to use a shield, both to block and to attack. Your active defense with any kind of shield – your Block score – is (skill/2) + 3, rounded down. You must specialize: 

Shield: Any shield held in place with straps. Such shields have the advantage that you can hold (but not wield) something in your shield hand, but the disadvantage of being slow to put on or take off. This is the most common specialty – list it as “Shield” on character sheets. 

Buckler: Any kind of shield, usually a small one, held in the hand. A buckler occupies one hand completely, but you can ready it in only one turn and drop it as a free action. 

Force: Any shield with a blocking “surface” formed from energy rather than matter. 

Shield, Shield (Buckler), and Shield (Force) default to one another at -2.",DX-4,Easy,Dexterity,
Shiphandling,TRUE,TRUE,"This is the ability to act as the master of a large vessel. It involves directing the crew in the tasks necessary to control the vehicle’s speed and direction. It also covers such duties as keeping the captain’s log and inspecting the crew. Someone with Shiphandling skill (at better than default!) should stand watch at all times when the vessel is underway. Roll vs. skill when encountering hazards or maneuvering for battle. 

A failed roll when encountering hazards means the vessel is damaged. This might mean anything from scratched paint to crippling damage that requires extensive repairs. 

A failed roll in battle means the vessel did not go exactly where intended. The details depend on the vessel, the tech level, and the GM’s judgment, but might include weapons being “masked” (unable to engage the enemy), a failed boarding attempt, or drifting out of formation with your fleet (which might deny you the benefits of area defenses, fire support, or tactical communications). A critical failure under any circumstances means an appropriate disaster. Depending on the TL and situation, this could mean running aground, colliding with another vessel, being dismasted, losing your screws or rudder, or simply giving an order that your crew disregards. Whether they then save your ship for you, or mutiny and flee, is up to the GM. 

You must specialize: 

Airship: Blimps, zeppelins, and similar large airships. Prerequisites: Airshipman, Leadership, and Navigation (Air). Defaults: Airshipman-5 or Piloting (Lighter-Than-Air)-5. 

Ship: Surface vessels, from tugboats to carriers. Prerequisites: Leadership, Navigation (Sea), and Seamanship. Defaults: Seamanship-5, or to Boating (Large Powerboat)-5 for ships with engines or Boating (Sailboat)-5 for tall ships. 

Spaceship: Slower-than-light spacecraft. Prerequisites: Leadership, Navigation (Space), and Spacer. Defaults: Spacer-5 or any spaceship Piloting-5. 

Starship: Faster-than-light spacecraft. Prerequisites: Leadership, Navigation (Hyperspace), and Spacer. Defaults: Spacer-5 or any spaceship Piloting-5. 

Submarine: All forms of large submersibles. Prerequisites: Leadership, Navigation (Sea), and Submariner. Defaults: Submariner-5 or Submarine (Large Sub)-5. ",IQ-6 and others. Prerequisites: Description. ,Hard,Intelligence,"-2 to master an unfamiliar vessel (e.g., an aircraft carrier when you’re used to a battleship); -2 for an unfamiliar crew; -2 or more for a vehicle in bad repair."
Shortsword,,,"Any balanced, one-handed weapon 1-2 feet in length – including the shortsword and any club of comparable size and balance (e.g., a police baton). 

A sword is a rigid, hilted blade with a thrusting point, cutting edge, or both. All swords are balanced, and can attack and parry without becoming unready.  ","DX-5, Broadsword-2, Force Sword-4, Jitte/Sai-3, Knife-4, Saber-4, Smallsword-4, or Tonfa-3.",Average,Dexterity,
Singing,,,This is the ability to sing in a pleasing fashion. A successful roll means the audience liked your song. ,HT-4,Easy,Health,"Language Modifiers (p. 24), if you are singing in a foreign language; -2 if the audience does not understand the language; +2 for Voice (p. 97); -2 for Stuttering (p. 157)."
Skating,,,"When you are moving on skates, this skill replaces Hiking skill (p. 200) for routine travel and Running skill (p. 218) for racing. The GM may also require DX-based skill rolls in combat or chases, or for hazardous maneuvers, conditions, or speeds. Under those circumstances, any failure indicates a fall, while critical failure results in 1d-2 damage to a randomly chosen limb.",HT-6,Hard,Health,
Skiing,,,"This replaces Hiking skill (p. 200) when you are skiing cross-country and Running skill (p. 218) when you are racing. Roll once per day of routine travel. The GM may require much more frequent skill rolls – usually DX-based – in combat or chases, or for hazardous maneuvers, conditions, or speeds. In those situations, any failure indicates a fall, while critical failure means 1d damage to a randomly chosen limb.",HT-6,Hard,Health,
Sleight of Hand,,,"This is the ability to “palm” small objects, do coin and card tricks, etc. Make a skill roll to perform one piece of simple “stage magic.” A failed roll means you blew the trick. 

When you use this skill to steal, you must win a Quick Contest of Sleight of Hand vs. the Vision roll or Observation skill of potential witnesses to perform the theft unnoticed. 

You can also use this skill to cheat at cards, dice, etc. A successful Sleight of Hand roll gives from +1 to +5 on your Gambling roll. Any failure causes you to be denounced as a cheater! In both cases, the exact results are up to the GM. ",Filch-5,Hard,Dexterity,"+3 if the light is dim; +3 if you have a confederate to distract attention; +5 if you have prepared in advance (cards up your sleeve, etc.); -3 if the person you want to fool knows Sleight of Hand himself; modifiers for High Manual Dexterity (p. 59) or Ham-Fisted (p. 138)."
Sling,,,This is the ability to use the sling or staff sling,DX-6,Hard,Dexterity,
Smallsword,,,"Any short (up to 1 yard), light thrusting sword or one-handed short staff (such as the sticks used in the martial arts arnis, escrima, and kali). 

Fencing weapons are light, onehanded weapons, usually hilted blades, optimized for parrying. If you have a fencing weapon, you get an improved retreating bonus when you parry – see Retreat (p. 377). Furthermore, you have half the usual penalty for parrying more than once with the same hand (see Parrying, p. 376). 

Note that fencing weapons are light and likely to break when used to parry a heavier weapon. They cannot parry flail weapons at all! You must be relatively mobile to capitalize on their speed and maneuverability: all attacks and parries take a penalty equal to your encumbrance level (e.g., Heavy encumbrance gives -3 to hit or to parry). ","DX-5, Shortsword-4, Main-Gauche-3, Rapier-3, Saber-3. ",Average,Dexterity,
Smith,,TRUE,"This is the ability to work nonprecious metals by hand. You must specialize: 

Copper: Copper itself and its alloys, including brass and bronze. Traditionally, a smith who worked with these metals was called a “brownsmith.” Default: Jeweler-4. 

Iron: The skill of being a blacksmith. Also covers steel, at tech levels where it exists. 

Lead and Tin: Any of the softer, “white” metals, including alloys such as pewter. The traditional name for such a smith was “whitesmith.” Default: Jeweler-4. 

These specialties default to one another at -4. 

This skill is IQ-based, but ST is important, and some tools have a “Minimum ST,” just like weapons. ",IQ-5 and others.,Average,Intelligence,
Smuggling,,,"This is the ability to conceal items in baggage and vehicles. You can also use it to hide an object in a room or a building. Roll against skill to hide an item from casual inspection. In an active search, the searchers must win a Quick Contest of Search vs. your Smuggling skill to find the item. ",IQ-5,Average,Intelligence,"Equipment modifiers (p. 345) for specialized smuggling gear. The difference between the Size Modifier (p. 19) of the package, vehicle, or room in which you are hiding the item and that of the item itself; e.g., to hide a bottle of liquor (SM -5) in a family car (SM +3), you would roll at +8."
Sociology,,,"This is the study of societies and social relationships. A successful skill roll lets you judge how well a large group of people will work together; deduce the social pressures contributing to a crime wave, revolution, war, etc.; or predict the most probable outcome of dissimilar societies coming into contact.","IQ-6, Anthropology-3, or Psychology-4.",Hard,Intelligence,
Soldier,TRUE,,"This skill represents a combination of basic military training – the lessons taught at “boot camp” or its equivalent in your game world – and actual combat experience. Only those who have served in an army, militia, etc. are likely to know it. 

The GM may require a Soldier roll whenever circumstances would test your battlefield discipline (knowing when to shoot, use concealment, take cover, etc.) or skill at practical field survival (e.g., keeping your feet dry and eating when you get the chance). Roll daily during prolonged military action. Failure means an inconvenience – perhaps a minor piece of equipment fails. Critical failure indicates a disaster: “friendly fire” incident, trench foot, etc. 

Soldier includes basic lessons in many fields covered by other skills. For instance, a TL8 soldier learns to strip his rifle without learning Armoury (Small Arms), to use a radio without learning Electronics Operation (Comm), to dig a foxhole without learning Engineer (Combat), and so forth. In a situation where someone with one of those skills would roll at +4 or better for a routine task (see Task Difficulty, p. 345), the GM may let you roll against Soldier skill instead. You do not receive the bonus that someone with the full-fledged skill would get, but you do suffer any situational penalties. 

Soldier can only substitute for skill rolls to do things that would be a believable part of basic training. This means the routine use of standard equipment by ordinary troops – not research, improvisation, or design, and never the operation of new or secret technologies! Soldier cannot replace weapon skills, either; you must buy all such skills separately. 

Example: If someone with Electronics Operation (Comm) would be at +4 to call HQ on a standard-issue radio, you could do so with a successful Soldier roll. However, you could not use Soldier to fix a broken radio, use an enemy radio, or transmit coded signals.",IQ-5,Average,Intelligence,
Spacer,TRUE,,"The skill of working with airlocks, docking clamps, hull patches, pressure doors, etc. on a large spacecraft or space base. 

This is the ability to serve as crew aboard a specific type of large vehicle. It includes familiarity with “shipboard life,” knowledge of safety measures, and training in damage control (the use of emergency equipment to control flooding, fight fires, patch the hull, and so forth). Make a skill roll for basic map or chart reading, practical meteorology, or to recall laws and regulations that pertain to your vehicle. 

This skill also lets you steer the vessel. It is easier than Piloting, Submarine, and similar skills because it only includes knowledge of how to steer. Specialists handle such activities as plotting courses and operating sensors. These experts report to the captain, who in turn tells you how to maneuver. Make a DX-based skill roll whenever you take the helm – but note that your effective skill cannot exceed your captain’s Shiphandling skill (p. 220). 

The average Crewman skill of an entire crew can be used as a measure of overall crew quality. The GM rolls against average skill whenever the vehicle arrives or departs, in unfavorable conditions, or in battle. Failure and critical failure results depend on the circumstances. ",IQ-4,Easy,Intelligence,
Spear,,,"Any long, balanced pole weapon with a thrusting point, including spears, javelins, tridents, and fixed bayonets. 

Pole weapons are long (usually wooden) shafts, often adorned with striking heads. All require two hands. ","DX-5, Polearm-4 or Staff-2. ",Average,Dexterity,
Spear Thrower,,,"This is the ability to use the spear thrower: a long, flat stick with a notch or a loop at one end. It increases the force with which you can hurl a javelin or similar weapon. It takes one turn to position the spear in the thrower after both are in hand and ready. ",DX-5 or Thrown Weapon (Spear)-4. ,Average,Dexterity,-5 in tight quarters (less than two yards of overhead clearance).
Speed-Reading,,,"This is the ability to read much faster than normal. Whenever time is of the essence (for instance, when reading the instructions on a parachute as you fall), multiply your reading speed by a factor of 1 + (skill/10); e.g., Speed-Reading-12 would give a factor of 2.2. Make a skill roll to determine whether you retain what you have read. 

On a failure, your recall is shaky. Every time you try to remember or use what you read, you must make an IQ roll at a penalty equal to your margin of failure. Roll at +5 if you have Eidetic Memory, or +10 for Photographic Memory. If this roll fails, you cannot recall the information; on a critical failure, you recall badly flawed information but believe it to be true! To eliminate this IQ roll, you must go back and reread the material slowly.",None.,Average,Intelligence,Language modifiers (p. 24).
Sports,,,"This is the ability to play a particular sport well – perhaps well enough to earn a living. Each sport is a separate Sports skill. Most Sports skills are DX/Average and default to DX-5, but those that put a premium on strength (e.g., rugby) might default to ST-5. Some Sports skills might default to one another or to other skills as well. 

Make an IQ-based roll to recall the basic rules of your sport. Detailed knowledge of the full rules governing leagues and tournaments – as would be expected of a coach or referee – is covered by the relevant Games skill (p. 197). 

The GM may rule that certain Sports are useful in combat situations. For instance, Sports (Baseball) might let you use a bat to parry hurled rocks and grenades at (skill/2) + 3, Sports (Bullfighting) might give a Parry equal to (skill/2) + 3 against a slam by a beast that uses a “running head butt,” and you might be able to roll against Sports (Rugby) to hit with a slam.",DX-5 and others.,Average,Dexterity,
Staff,,,"Any long, balanced pole without a striking head. This skill makes good use of the staff’s extensive parrying surface when defending, giving +2 to your Parry score. 

Pole weapons are long (usually wooden) shafts, often adorned with striking heads. All require two hands. ","DX-5, Polearm-4 or Spear-2. ",Average,Dexterity,
Stage Combat,,,"This skill allows you to perform a choreographed fight safely, yet in an entertaining manner. A critical failure indicates an injury: 1d-2 damage to a random location. ","Combat Art or Sport-2, an actual combat skill-3, or Performance3.",Average,Dexterity,-4 for an unfamiliar weapon.
Stealth,,,"This is the ability to hide and to move silently. A successful roll lets you conceal yourself anywhere except in a totally bare room, or move so quietly that nobody will hear you, or follow someone without being noticed. (To follow someone through a crowd, use Shadowing, p. 219.) 

If someone is specifically on the alert for intruders, the GM will roll a Quick Contest between your Stealth and the sentinel’s Perception. 

You can also use this skill to stalk game. A successful roll (and about 30 minutes) gets you within 30 yards of most animals. Another roll, at -5, gets you within 15 yards. ",DX-5 or IQ-5. ,Average,Dexterity,"A penalty equal to your encumbrance level. -5 to hide in an area without “natural” hiding places, or +3 or more if there are many hiding places. -5 to move silently if you are moving faster than Move 1. -5 to fool those with Discriminatory Smell (e.g., dogs)."
Strategy,,TRUE,"This is the ability to plan military actions and predict the actions of the enemy. In most settings, only the military teaches this skill. 

A successful Strategy roll lets you deduce, in advance, enemy military plans unless another person with this skill leads them. In that case, the GM rolls a Quick Contest of Strategy. The amount of information gained depends on how well you roll (but not on the quality of the foe’s plans). If you fail an uncontested roll or lose a Quick Contest, the GM gives you false information. 

You must specialize in a type of strategy – Land, Naval, Space, etc. These specialties default to one another at -4. The specific units being commanded are less important; even the units of another nation or tech level would give -1 or -2 at most (GM’s judgment), as long as you had accurate information about their capabilities.","IQ-6, Intelligence Analysis-6, or Tactics-6. ",Hard,Intelligence,
Streetwise,,,"This is the skill of getting along in rough company. A successful Streetwise roll might let you learn (among other things) where any sort of illegal “action” is; which local cops or bureaucrats can be bought, and for how much; and how to contact the local underworld. Note that you might also be able to get this information by asking a Contact (p. 44). This skill is a measure of your ability to make new connections as needed. 

You may substitute an Influence roll against Streetwise for any reaction roll made in an underworld or “bad neighborhood” situation; see Influence Rolls (p. 359). ",IQ-5,Average,Intelligence,+3 if you have a tough reputation (either “good” or “bad”) in the area; -3 if you are obviously a stranger in the area. -3 for Low Empathy (p. 142); -1 for Oblivious (p. 146); -1 to -4 for Shyness (p. 154).
Submarine,TRUE,TRUE,"This is the ability to operate a specific type of underwater vehicle. As with Piloting, the default is to IQ, but when you learn the skill, always base it on DX. 

Roll against Submarine to dive or to surface, to maneuver in underwater combat, or to negotiate hazardous waters. Failure can mean anything from a slight drift off course to a collision; critical failure may strand the vessel underwater! 

Make an IQ-based Submarine roll for basic chart reading or practical oceanography, or to recall nautical laws and regulations. 

You must specialize: 

Free-Flooding Sub: Any small, open submersible. The crew is exposed to the water, and must wear underwater breathing gear. Prerequisites: Diving Suit or Scuba. Defaults: Large Sub-5 or Mini-Sub-4. 

Large Sub: Any crewed, long-duration submersible, including attack subs and missile subs. Defaults: Free-Flooding Sub-5 or Mini-Sub-4. 

Mini-Sub: Any small, closed, short-duration submersible, typical of those used for scientific research. Defaults: Free-Flooding Sub-4 or Large Sub-4. ",IQ-6,Average,Dexterity,"-2 for an unfamiliar submarine within your specialty (e.g., a diesel attack sub when you are used to a nuclear missile sub); -4 or more for a vessel in bad repair; -1 to -10 for navigational hazards."
Submariner,,,"The skill of handling pressure doors, pumps, valves, etc. aboard a submarine or in an undersea base.

This is the ability to serve as crew aboard a specific type of large vehicle. It includes familiarity with “shipboard life,” knowledge of safety measures, and training in damage control (the use of emergency equipment to control flooding, fight fires, patch the hull, and so forth). Make a skill roll for basic map or chart reading, practical meteorology, or to recall laws and regulations that pertain to your vehicle. 

This skill also lets you steer the vessel. It is easier than Piloting, Submarine, and similar skills because it only includes knowledge of how to steer. Specialists handle such activities as plotting courses and operating sensors. These experts report to the captain, who in turn tells you how to maneuver. Make a DX-based skill roll whenever you take the helm – but note that your effective skill cannot exceed your captain’s Shiphandling skill (p. 220). 

The average Crewman skill of an entire crew can be used as a measure of overall crew quality. The GM rolls against average skill whenever the vehicle arrives or departs, in unfavorable conditions, or in battle. Failure and critical failure results depend on the circumstances. ",IQ-4,Easy,Intelligence,
Suggest,,,"Bards in fantasy can often influence others through storytelling. The GM may choose to represent this ability using the four Enthrallment skills Captivate, Persuade, Suggest, and Sway Emotions. Depending on the setting, these skills might be magical, psionic, or a cinematic form of hypnotism. Each has a time requirement, FP cost, and duration, and requires two skill rolls to use. 

At the outset of the tale, roll vs. Public Speaking skill; if you can’t grab your audience’s attention early on, you won’t have much of a chance of controlling them by the end. On a success, proceed to the Enthrallment skill roll; critical success gives +1 on that roll. On a failure, you may still attempt the Enthrallment roll, but at a penalty equal to your margin of failure. Critical failure means your Enthrallment attempt fails automatically. 

After the time required to enthrall has passed, roll a Quick Contest of your Enthrallment skill vs. the Will of each audience member. If you win, you affect your audience – see the individual skill description for effects. If you lose or tie, there is no effect. However, if you critically fail, your audience instantly turns hostile! 

You may never learn these skills at a skill level higher than your Public Speaking skill. 

Audience Size: An “audience” can be one listener or a hundred – as many as can hear the tale. However, the number of audience members that you can enthrall at one sitting is limited to your Charisma level squared, to a maximum of 25 people at Charisma 5. 

This ability lets you give your audience a single, simple suggestion. A suggestion should have no complex grammatical clauses – just a subject, verb, object, and at most two modifiers. “Kill the king!” is acceptable; “Kill the king if he doesn’t accede to our demands!” is not. A given subject gets +5 to resist if your suggestion goes against his personal safety, and +3 if it goes against his beliefs, convictions, or knowledge. 

If you win the Quick Contest, the audience members try to act on the suggestion to the best of their abilities – each assuming that the idea was his own. 

Time: 20 minutes of uninterrupted storytelling. 

Fatigue Cost: 6 FP, whether successful or not. 

Duration: 10 minutes – or longer, if you continue to talk to the audience and can make a successful Suggest roll every 10 minutes! Once the suggestion lapses, audience members only wonder why they acted the way they did if the suggestion was something they would never have done normally.
",None. Prerequisite: Persuade at 12+.,Hard,Willpower,"All four Enthrallment skills are at -3 for Low Empathy (p. 142). If the player actually tells a good tale, the GM should reward him with +1 to +3 to the Public Speaking and Enthrallment rolls!"
Sumo Wrestling,,,"This unarmed combat skill represents any training at grabbing, shoving, and tripping – not just the traditional Japanese sport of sumo. Roll against the higher of DX or Sumo Wrestling to hit with a grapple, slam, or shove, or to make or resist a takedown. If you know this skill at DX+1 level, add +1 to ST whenever you make or resist a grapple or takedown, and whenever you attempt to break free, and +1 per die to your damage when you slam or shove. These bonuses increase to +2 if you know Sumo at DX+2 or better. 

When you defend with bare hands, Sumo Wrestling allows you to parry once per turn. You must use both hands. Your Parry score is (skill/2) + 3, rounded down. This parry is meant to ward off slams, grapples, and barehanded slaps. You parry at -2 vs. kicks and -3 vs. weapons. For complete rules for parrying barehanded, see Parrying Unarmed (p. 376).",None.,Average,Dexterity,
Surgery,TRUE,,"This is skill at using invasive medical techniques to treat sickness or injury. Roll once per operation. On a success, the operation proceeded without complications. On a failure, the patient took damage – 2d for a simple amputation, 3d for other procedures. Surgery rolls can also facilitate recovery from wounds; see Surgery (p. 424). 

This skill represents general surgical expertise, which is relatively rare in real life. Most surgeons have an optional specialty (p. 169) in a certain part of the body (brain, heart, etc.) or a specific type of surgery (cosmetic surgery, microsurgery, transplant surgery, etc.). ","First Aid-12, Physician-5, Physiology-8, or Veterinary-5. Prerequisites: First Aid or Physician. ",Very Hard,Intelligence,"Equipment modifiers (p. 345); physiology modifiers (p. 181); -3 if the area or equipment cannot be properly cleaned and sterilized; -3 for head or chest surgery; -5 for undiagnosed problems. If you lack Physician skill, you are at -5 to do anything but “field-expedient” surgery (e.g., stitch wounds or extract arrowheads, bullets, and shrapnel)."
Survival,,TRUE,"This is the ability to “live off the land,” find safe food and water, avoid hazards, build shelter, etc. You may look after up to 10 other people. To live safely in a wilderness situation, you must make a successful Survival roll once per day. Failure inflicts 2d-4 injury on you and anyone in your care; roll separately for each victim. 

This skill also gives an “eye for country.” A successful roll shows you the best direction of travel to find flowing water, a mountain pass, or whatever other terrain feature you desire – assuming that it exists. 

Finally, you can use this skill to trap wild animals. (A city-bred thief could use Traps skill, but he’s used to different game . . . so the roll would be at a -5.) Make one roll per trap. It takes about 30 minutes to improvise a trap from ordinary materials, or 10 minutes to set and hide a commercial steel trap. Pit traps for large game take several hours to dig. 

Survival often requires skill rolls based on scores other than Perception. The GM might ask for a ST-based roll to dig a pit trap or erect a log shelter, a DX-based roll to start a fire using primitive techniques (flint sparking, bow and palette, etc.), or even a HT-based roll to avoid nutritional deficiencies from an improvised diet. 

You must specialize by terrain type. Land-dwellers may choose from Arctic, Desert, Island/Beach, Jungle, Mountain, Plains, Swampland, and Woodlands. Aquatic beings may take any of Bank, Deep Ocean Vent, Fresh-Water Lake, Open Ocean, Reef, River/Stream, Salt-Water Sea, and Tropical Lagoon. Amphibious individuals can pick from either list! 

Land specialties default to one another at -3, while aquatic specialties default among themselves at -4. Island/Beach and Tropical Lagoon default to each other at -4, as do Swampland and River/Stream, but there are no other defaults between land and aquatic specialties. 

In settings where it is possible to visit other worlds, you must also specialize by planet. Each Survival specialty defaults to the same terrain type for a different planet at -4. The defaults between terrain types given above are at an extra -4 between different planets. All this assumes the two planets are of the same planet type (see Planet Types, p. 180). There is no default at all between Survival skills for two planets of different planet types. 

At the GM’s option, extreme manmade terrain may call for unique specialties; e.g., Survival (Radioactive Wasteland). Most such specialties have no default of any kind. See also Urban Survival, p. 228. ",Perception-5 or Naturalist (same planet)-3. ,Average,Perception, Up to -5 for extreme weather conditions. Equipment modifiers (p. 345).
Sway Emotions,,,"This ability allows you to instill the audience with any one emotion. Allowed emotions include anger, boredom, depression, disgust, fear, greed, hate, jealousy, joy, love, lust, patriotism, peace, sadness, and unrest. 

Bards in fantasy can often influence others through storytelling. The GM may choose to represent this ability using the four Enthrallment skills Captivate, Persuade, Suggest, and Sway Emotions. Depending on the setting, these skills might be magical, psionic, or a cinematic form of hypnotism. Each has a time requirement, FP cost, and duration, and requires two skill rolls to use. 

At the outset of the tale, roll vs. Public Speaking skill; if you can’t grab your audience’s attention early on, you won’t have much of a chance of controlling them by the end. On a success, proceed to the Enthrallment skill roll; critical success gives +1 on that roll. On a failure, you may still attempt the Enthrallment roll, but at a penalty equal to your margin of failure. Critical failure means your Enthrallment attempt fails automatically. 

After the time required to enthrall has passed, roll a Quick Contest of your Enthrallment skill vs. the Will of each audience member. If you win, you affect your audience – see the individual skill description for effects. If you lose or tie, there is no effect. However, if you critically fail, your audience instantly turns hostile! 

You may never learn these skills at a skill level higher than your Public Speaking skill. 

Audience Size: An “audience” can be one listener or a hundred – as many as can hear the tale. However, the number of audience members that you can enthrall at one sitting is limited to your Charisma level squared, to a maximum of 25 people at Charisma 5. 

If you win the Quick Contest, your audience experiences the emotion you select. How they act as a result is up to the GM. 

Time: 10 minutes of uninterrupted storytelling. 

Fatigue Cost: 4 FP, whether successful or not. 

Duration: One hour.",None. Prerequisite: Persuade at 12+. ,Hard,Willpower,"All four Enthrallment skills are at -3 for Low Empathy (p. 142). If the player actually tells a good tale, the GM should reward him with +1 to +3 to the Public Speaking and Enthrallment rolls!"
Swimming,,,"This is the skill of swimming (whether on purpose or to keep afloat in emergencies) and lifesaving. Roll against the higher of Swimming or HT to avoid fatigue while swimming or injury due to aquatic misfortunes. When racing someone of equal water Move, roll a Quick Contest of Swimming to determine the winner. See Swimming (p. 354). 

Note that Swimming does not cover high diving – that’s Sports (Diving).",HT-4,Easy,Health,
Symbol Drawing,,TRUE,"This is the art of scribing magical symbols. Depending on your magical tradition, you might carve these symbols with a ritual dagger, draw them on the ground or an altar using blood or ceremonial powders, write them in ink, trace them in the air with a wand or your fingers, or something else. You must specialize in a particular magical tradition. 

In traditions where magical power flows from the caster, nature, spirits, etc. as opposed to the symbols themselves, the symbols provide a focus that aids magic use. Roll against Symbol Drawing before each ritual. On a success, add half your margin of success (round down) to your skill with the next ritual you conduct over the symbols. This kind of Symbol Drawing defaults to Ritual Magic (same)-4. For instance, Symbol Drawing (Voodoo) defaults to Ritual Magic (Voodoo)-4, and lets you draw the vevers used in Voodoo ritual. 

In traditions where the symbols themselves imbue items or places (or even people, in the case of tattoos) with magic, the magic is only as good as the symbols. Roll against the lower of Symbol Drawing and your skill with the enchantment itself. This is most common in rune magic. Each runic alphabet is a separate Symbol Drawing skill with no default. For instance, Symbol Drawing (Futhark Runes) would let you scribe the runes used in Norse magic. 

More-exotic traditions may have their own rules; see the appropriate worldbook for more information. ",Special,Hard,Intelligence,-1 or more if using nontraditional means to mark the symbols; -1 or more if placing the symbols on any surface other than those prescribed by your tradition.
Tactics,,,"This is the ability to outguess and outmaneuver the enemy in small-unit or personal combat. In most settings, only the military teaches this skill. 

When commanding a small unit, roll against Tactics to place your troops correctly for an ambush, know where to post sentries, etc. At the GM’s option, a successful roll might even provide clues as to immediate enemy plans. To outmaneuver enemy units, you must win a Quick Contest of Tactics with their leader. All of this only applies when you lead a group small enough that you can give each warrior orders personally – or through at most one subordinate. Thus, radio and similar technologies can greatly enhance your command abilities! 

In personal combat, you may make a Tactics roll before the fight begins if you had any time to prepare. On a success, you start the fight in an advantageous position – e.g., behind cover or on higher ground – as determined by the GM. The better the roll, the greater your advantage. If you fail, or do not attempt a Tactics roll, you are in a random location (or one of the GM’s choosing) when combat begins. Fighters without Tactics skill always start combat this way. 

Even in an ambush or similar “surprise” situation, the GM will use the better of your Tactics skill and your Perception to see if you spotted the danger on time. ",IQ-6 or Strategy (any)-6. ,Hard,Intelligence,
Teaching,,,"This is the ability to instruct others. If you have Teaching at level 12+, you may act as a teacher for game purposes. For more on teaching and learning, see Improvement Through Study (p. 292). ",IQ-5. ,Average,Intelligence,-3 for Callous (p. 125); -1 to -4 for Shyness (p. 142). Apply both the teacher’s and the student’s Language penalties (p. 24) in the language of instruction.
Teamster,,TRUE,"This is the skill of driving a team of animals pulling a wagon, chariot, etc. It includes the ability to harness and care for the beasts, and judge them for quality before purchase. If the animals are ornery or badly trained (GM’s judgment), you must make a successful Animal Handling roll before you can attempt a Teamster roll. 

For normal travel, make a Teamster roll once per day. When moving at a gallop (80% or more of the animals’ full Move) or when executing complex maneuvers with a chariot in combat, roll every 10 seconds. 

A failure usually means nothing worse than lost time or a wider turn than intended. A critical failure – or any failure at a gallop – spills the wagon or chariot. Treat this as a five-yard fall for each passenger and animal involved (see Falling, p. 431). As well, roll 2d for each beast; on a 12, a leg is broken! You will have to make Animal Handling rolls to calm the beasts. Time required to reload the cargo depends on the load, terrain, and weather. 

You must specialize by animal type; the most common specialty is Teamster (Equines), which covers horses and mules. Teamster specialties default to one another at -3. ","IQ-5, Animal Handling (same)-4, or Riding (same)-2. ",Average,Intelligence,-2 for more than four animals; -2 for a team of unfamiliar animals; up to -5 for bad terrain.
Thaumatology,,,"This is the academic study of magical theory and the “physics” of mana. Anyone may learn this skill, but it is easier for a mage; add Magery to IQ when learning this skill, just as for spells. 

The main use for this skill is magical research. When creating a new spell, use the rules for inventing (see Chapter 17), but replace Engineer skill with Thaumatology. A successful skill roll can also identify an unknown spell when you see it cast, deduce the ramifications of a critical success or failure with magic, determine the spells needed to enchant a magic item to perform as desired, etc. The better your roll, the more insight the GM will provide. 

This is the study of fantasy magic – fireball spells, rings of power, etc. The equivalent skill for traditional, spirit-mediated sorcery is Ritual Magic (p. 218), while holy magic might require Religious Ritual (p. 217) or Theology (p. 226). However, a Thaumatology roll at -5 will allow a thaumatologist to relate these different varieties of magic to “standard” wizardry. Exceptionally weird powers or otherworldly artifacts might give a larger penalty!","IQ-7*. 
* There is no default in a nonmagical setting, or for those who have never witnessed “real” magic. ",Very Hard,Intelligence,
