disadvantage,description,cost,self_control
Shadow Form,"You can become a two-dimensional shadow. This lets you slip along walls and floors – and through the thinnest cracks (anything wide enough to fit your shoulders through) – at your usual ground Move. You can also defy gravity, creeping up walls and across ceilings at half Move. 

Physical attacks do half damage to you in this form. Energy attacks do normal damage, except for light-based attacks, which do 50% extra damage. Magic, psi, and other purely mental abilities affect you normally. 

You are subject to a few major restrictions while in this form. You cannot walk through three-dimensional space; you must slide along an object. Furthermore, you cannot perform any purely physical attacks or actions, and you cannot carry ordinary items or affect them in any way. You can use magic, psi, and similar abilities, however. 


If you cannot switch out of Shadow Form, Shadow Form is a disadvantage worth -20 points. This will make it difficult to interact with others! You may still add enhancements, but they will work like limitations, reducing the value of the disadvantage. For instance, a +50% enhancement would reduce the value of the disadvantage by 50%, to -10 points. 

Special Enhancements 
Can Carry Objects: You may carry objects. They take Shadow Form when picked up and return to normal when put down. You still may not affect non-shadow objects. No encumbrance is +10%; Light, +20%; Medium, +50%; Heavy, +100%.",-20,
Short Attention Span,"You find it difficult to concentrate on a single task for longer than a few minutes. Make a self-control roll whenever you must maintain interest in something for an extended period of time, or whenever a distraction is offered. If you fail, you automatically fail at the task at hand. The GM might give you a small bonus to the self-control roll in situations where concentration is crucial, such as when your   survival is at stake.",-10,TRUE
Short Lifespan,"Your lifespan is much shorter than the human norm. Each level of this disadvantage halves your lifespan (round down). This affects the age at which you reach maturity, the ages at which aging rolls begin and increase in frequency, and the interval between aging rolls; see the table (above right). No more than four levels are possible. Short Lifespan is often found in conjunction with Self-Destruct (p. 153).

Level        Maturity        Aging     [Frequency        of Aging Rolls]        
0 (Human)        18 years        50 years [1 year]        70 years [6 months]        90 years [3 months]
1        9 years        25 years [6 months]        35 years [3 months]        45 years [45 days]
2        4 years        12 years [3 months]        17 years [45 days]        22 years [22 days]
3        2 years        6 years [45 days]        8 years [22 days]        11 years [11 days]
4        1 year        3 years [22 days]        4 years [11 days]        5 years [5 days]
",-10,
Shyness,"You are uncomfortable around strangers. Roleplay it! This disadvantage comes in three levels; you can buy it off one level at a time.

Mild: You are uneasy with strangers, especially assertive or attractive ones. You have -1 on skills that require you to deal with people, including Acting, Carousing, Diplomacy, Fast-Talk, Intimidation, Leadership, Merchant, Panhandling, Performance, Politics, Public Speaking, Savoir-Faire, Sex Appeal, Streetwise, and Teaching. -5 points.

Severe: You are very uncomfortable around strangers, and tend to be quiet even among friends. -2 the skills listed above. - 10 points.

Crippling: You avoid strangers whenever possible. You may not learn the skills listed above  at all, and are at -4 on default rolls on such skills. - 20 points.",,
Skinny,"You have approximately 2/3 the average weight for your ST. This gives you -2 to ST when you resist knockback. You get -2 to Disguise – or to Shadowing, if you are trying to follow someone in a crowd. Your HT may not be above 14.",-5,
Slave Mentality,"You have no initiative, and become confused and ineffectual without a “master” to give you orders. You must make an IQ roll at -8 before you can take any action that isn’t either obeying a direct order or part of an established routine. As well, you automatically  fail any Will roll to assert your-self or resist social influence except in circumstances where the GM rules that success might be possible, in which case you roll at -6.

This doesn’t necessarily imply low IQ or Will. You might be intelligent enough to obey the command, “Program the computer to detect quarks,” but if you were starving and found $10, you would have to roll vs. IQ-8 to decide to pick up the money and go buy food without being told to do so. Similarly, you might be strong-willed enough to make all your Fright Checks in the presence of terrifying monsters, yet roll at Will-6 to resist the unsubtle manipulations of an obvious con man.

This disadvantage is rarely appropriate for PCs, and the GM may choose to forbid it entirely.",-40,
Sleepwalker,"You walk in your sleep (“somnambulate”). This is merely annoying or embarrassing under most circumstances (unless you fall down the stairs), but it can be very dangerous to sleepwalk while encamped in hostile territory! 

If sleepwalking would matter during an adventure, the GM will make a self-control roll for you whenever you go to sleep. If you fail, you sleepwalk sometime during the night. You wake up after walking for 1d minutes, or if someone awakens you. The GM will make DX rolls to see if you trip while going down stairs or walking over rough ground – if this happens, you wake up suddenly and are mentally stunned.

You are considered to be in a hypnagogic state while sleepwalking, and thus are very susceptible to telepathic influences. If you possess supernatural abilities, you might use these while sleepwalking (e.g., if you have Warp, you might “sleepwarp” instead).",-5,TRUE
Sleepy,"This is a racial trait. Members of the race need to sleep more than the human norm of 1/3 of the time. Point value depends on the fraction of the time they must spend asleep:

Time Spent Asleep	Cost
1/2 of the time	-8 points
2/3 of the time	-16 points
3/4 of the time	-20 points
7/8 of the time	-26 points

The race’s precise schedule is a “special effect.” For instance, a race that sleeps 3/4 of the time might be awake and active for three days straight and then sleep for a full nine days. 

This trait can also represent  hibernation. For instance, if a race is awake and active on a human schedule for six months, and then hibernates for two months straight, then on the average, that’s equivalent to sleeping 1/2 of the time.",,
Slow Eater,"You spend a lot of your time eating. Each meal takes about two hours, as opposed to about 1/2 hour for most humans. This reduces the time available for study, long tasks, and travel on foot by 4 1/2 hours per day.",-10,
Slow Healing,"Your body heals very slowly. Each level (maximum three levels) doubles the interval between HT rolls to regain lost HP: roll every two days for Slow Healing 1, every four days for Slow Healing 2, and every eight days for Slow Healing 3. Take Unhealing (p. 160) if you heal even more slowly. Each level also doubles the time allowed between Physician rolls  when under the care of a competent physician (see  Medical Care, p. 424).

Normal humans may take no more than one level of Slow Healing.",-5,
Slow Riser,"You are not a “morning person.” For one hour after you awaken from any sleep longer than a one-hour nap, you have -2 on all self-control rolls and -1 to IQ and IQ-based skills. Furthermore, whenever the GM assesses attribute penalties for missed sleep, you suffer an extra -1.",-5,
Social Disease,"You have contracted a contagious, antibiotic-resistant bacteria, retro-virus, or similar disease. This is only transmitted by close, unprotected physical contact. Those who know about it react to you at -1 and automatically resist your seduction attempts. The disease isn’t fatal – at least not immediately – but may produce physical symptoms (left to the imagination of the player or GM).",-5,
Social Stigma,"You belong to a race, class, sex, or other group that your society deems inferior. To be worth points, this must be obvious from your physical appearance (a visible brand, tattoo, or magical mark counts), dress, manner, or speech; or easily learned by anyone who cares to check up on you (only valid in societies with free and easy access to information); or the result of public denouncement (e.g., by a powerful leader or media figure) that
ensures that everyone you meet knows that you, personally, belong to the disdained group.

A Social Stigma gives you a reaction penalty (-1 per -5 points of Social Stigma), restricts your social mobility, or both. Examples include:

Criminal Record: You have been convicted of a crime that your society considers serious. You may be prohibited from legally acquiring certain items (e.g., weapons), taking certain kinds of employment, receiving security clearances, or even traveling outside your country. Many non-criminals who learn of your past react at -1; police, judges, vigilantes, and other law-and-order types usually react at -2. If you are also wanted, take an appropriate Enemy. -5 points.

Disowned: Your family has publicly snubbed you. This is only worth points in settings where family ties play a significant social role, and never applies to those who voluntarily part ways with their family. This Social Stigma comes in two levels:
        • You would normally be an heir in your culture, but someone else has been named in your stead. This is embarrassing, but you may still count yourself as part of the family. This gives -1 on reaction rolls. - 5 points.
        • The head of your family – or your entire clan – has wholly and publicly disowned you. This gives -2 on reaction rolls. - 10 points.

Excommunicated: Your church has cast you out. Followers of your faith react to you at -3. This is only a disadvantage if you are excommunicated by a powerful and widespread religion (most likely state-backed) that plays a significant role in day-to-day life. - 5 points.

If your religion has true supernatural power, and you are surrounded by an aura that conveys your shame to co-religionists, angels, and anyone else who would care, no matter how well you disguise yourself, your Social Stigma is worth twice as much. - 10 points.

Ignorant: You have not learned a skill required of all responsible adults in your society (that is, you have no points in the skill). Others look down upon you as a slacker or a fool. This gives -1 on reactions for each “expected” skill you lack, up to a maximum of four skills. This is only worth points in highly structured societies, or in primitive ones where individuals depend on one another for survival. -5 points/skill.

Minor: You are underage by your culture’s standards. You suffer -2 on reaction rolls whenever you try to deal with others as an adult; they might like you, but they do not fully respect you. You might also be barred from nightclubs, vehicle operation, war parties, guild membership, etc., depending on the culture and setting. You must buy off this trait when you reach “legal age” (usually 18) for your time and place. -5 points.

Minority Group: You are a member of a minority that the dominant culture around you regards as “barbarians” or “inferior.” You get -2 on all reaction rolls made by anyone except your own kind. In an area, profession, or situation where your minority is especially  rare, you get +2 on reaction rolls made by your own kind. -10 points.

Monster: You are a large carnivore, magical abomination, or other being that is hated or feared regardless of actual  appearance or disposition. This gives you -3 on all reaction rolls, and you are liable to be hunted on sight. However, you get +3 to Intimidation rolls in situations where you have the upper hand (GM’s opinion). Examples: a bear or a vampire. - 15 points.

Second-Class Citizen: You belong to a group that receives fewer rights and privileges than “full citizens.” This gives -1 on all reaction rolls except from others of your own kind. Examples: a woman in 19th-century America, or members of some religions. - 5 points.

Subjugated: You are a member of a slave nation or race. Within the overlords’ culture, you have no rights, and suffer the negative effects of Second- Class Citizen and Valuable Property. If you manage to escape to freedom, you acquire the entire overlord nation or race as an Enemy. -20 points.

Uneducated: You are from a class, race, or subculture that lacks a cultural repository of wisdom, eschews formal schooling, and takes a dim view of activities that do not relate directly to survival or procreation. You receive -1 to reactions from more sophisticated folk in any situation where your lack of schooling would be apparent, and you may not start with any “book-learned” skills (GM’s discretion; most IQ/Hard skills qualify). You may buy off this trait once you have lived in “civilized” parts for long enough (GM’s decision). - 5 points.

Valuable Property: Your society regards you as somebody’s property rather than as a “legal person.” This takes the form of limited freedom or lack of intellectual respect more than as a reaction modifier.  Examples: a woman in 18th-century America or 16th-century Japan. - 10 points.

Social Stigmas must bind those who take them. For example, a medieval Japanese lady must pay for her 10-point bonus by giving up her freedom of movement in many cases, and must defer to older male relatives when they are present. A black slave in 19th-century America is allowed to learn very little and own almost no property, and has little freedom of any kind unless he manages to escape. (If he does escape, he has traded his Social Stigma for a powerful Enemy!)

It is possible to have multiple Social Stigmas, provided they do not significantly overlap (GM’s decision). For instance, a teenager who drops out of school and joins a street gang could believably end up with Minor, Uneducated, and Criminal Record.
",-5,
Space Sickness,"You are miserable in free fall. You can never learn Free Fall skill; you must always roll at default. In addition, you are at -4 on your HT roll to avoid “space adaptation syndrome” (see p. 434) – and if you fail the first HT roll, the only way for you to recover is to return to normal gravity.

This trait is only allowed in campaigns that feature regular space travel.",-10,
Split Personality,"You have two or more distinct personalities, each with its own set of behavior patterns. They may interpret their memories differently, and even use different names.

For each personality, select a “package” of mental disadvantages and up to five quirks. The GM may also permit variations in IQ, Perception, Will, and mental advantages, where these would make sense. Each package of mental traits must be worth the same number of points. When calculating the value of your character, count the “package price” once – not once for each personality. All your personalities have the same physical traits and skills (although some personalities might not use certain skills), and share any mental trait that is not part of one of these packages.

Example: Bob Smith has three personalities. “Col. Smith” is a stern disciplinarian with Delusion (“I am a military officer”) [-10], Code of Honor (Soldier’s) [-10], and the quirk “Stands on ceremony” [-1]. “Bobby” is a party animal with -2 to Will [-10], Compulsive Carousing (6) [-10], and the quirk “Sleeps all day and goes out at night” [-1]. “Smitty” is a trouble-maker with Overconfidence (12) [-5], Trickster [-15], and the quirk “Steals for fun” [-1]. All three personalities share all of Bob’s other traits. Each package totals -21 points. Bob’s player claims the -21 points once. With -15 points for Split Personality (12), the total point value is -36 points.

You must make a self-control roll in any stressful situation (but no more than once per hour of game time). On a failure, one of your other personalities emerges, and you behave according to its mental disadvantages and quirks. If there are several possibilities, the GM should either choose a personality appropriate to the situation or roll randomly.

All your personalities are somewhat shallow and affected, which gives -1 to reactions at all times. Those who witness a personality change will feel (possibly with justification) that you are a dangerous nutcase, and react at -3.",-15,TRUE
Squeamish,"You dislike “yucky stuff”: little bugs and crawly things, blood and dead bodies, slime, etc. When exposed to such things, you react just as if you had a Phobia; see Phobias, p. 148. Note that you do  not suffer from the standard fears of insects, reptiles, dirt, and the dead! What bothers you isn’t huge bugs or reptiles, ordinary “clean” dirt, and ghosts; it’s nasty creepy things, filth, and bits of grue.",-10,TRUE
Status,"Status is a measure of social standing. In most game worlds, Status levels range from -2 (serf or street person) to 8 (powerful emperor or godking), with the average man being Status 0 (freeman or ordinary citizen). If you do not specifically buy Status, you have Status 0. Status costs 5 points per level. For instance, Status 5 costs 25 points, while Status -2 is -10 points. Status also costs money to maintain (see p. 516). 
Status is not the same as personal popularity (see Reputation, p. 26) or the popularity of your racial or ethnic group (see Social Regard, p. 86, and Social Stigma, p. 155). Status can sometimes influence others’ reactions, but its main effect is to spell out where you stand in the social pecking order. In short, Status represents power. 

High Status 
Status greater than 0 means you are a member of the ruling class in your culture. Your family may be hereditary nobles (e.g., Plantagenet, Windsor), successful businessmen or politicians (Rockefeller, Kennedy), or some other type of big shots. You may even have achieved Status by your own efforts. As a result, others in your culture only defer to you, giving you a bonus on all reaction rolls. 
High Status carries various privileges, different in every game world; your GM will give you this information. Note that any high-Status person is a likely target for kidnappers and social climbers, and that some criminal types hate “the ruling class.” 

Low Status 
Status less than 0 means you are a serf or a slave, or simply very poor. This is not the same thing as Social Stigma (p. 155). In medieval Japan, for instance, a woman could have high Status, but still get a -1 on reactions due to the Social Stigma of being female. A modern-day criminal could theoretically have any level of Status in conjunction with the Social Stigma of a criminal record.

The interaction of Status, Social Stigma, and Reputation can give interesting results. For instance, a person who is obviously from a lower social class, or even a disdained minority group, might earn such a reputation as a hero that others react well to him.

Status as a Reaction Modifier 
When the GM makes a reaction roll (see p. 494), the relative Status of the characters involved can affect the reaction. The GM can roleplay NPCs as he likes, of course, but here are some general guidelines: 
Higher Status usually gives a reaction bonus. When dealing with a social inferior, apply the difference between your Status levels as a reaction bonus – except, of course, when dealing with someone who resents Status. For instance, if you have Status 3, those of Status 1 react to you at +2, and those of Status 0 react at +3. 
Lower Status may give a penalty. If you are dealing with a higher-Status NPC who is basically friendly, your Status doesn’t matter (as long as it’s positive). After all, the king has a far higher Status than his knights, but he reacts well to them . . . most of the time. But if the NPC is neutral or already angry, lower Status makes it worse (“How dare you, a mere knight, tell me my battle plan is foolish?”). Again, apply the difference in Status levels as a reaction modifier, but in this case it gives a penalty. 
Negative Status usually gives a penalty. If your Status is so low as to be negative, those of higher Status always react badly to you. Apply the difference between your Status and the NPC’s as a reaction penalty, but no worse than -4. 

Recognizing Status 
Status only affects reaction rolls if it is obvious to those around you. In some settings, your bearing, dress, and speech communicate your Status. Indeed, if you have very high Status, your face may be easily recognized – or perhaps the gaggle of servants that surrounds you gets the message across. 
In other societies, you will have to produce physical proof (ID cards, signet rings, etc.), pass a test, or submit to ultra-tech or magical scans before you will be recognized. Status costs no fewer points in such societies; you may get fewer reaction bonuses, but you can also live a normal life, and it is far more difficult for someone to impersonate you.



Cost of Living and Status Each PC must pay the monthly “cost of living” for his Status or accept the consequences, as explained under Cost of Living (p. 265). Assume the PCs are Status 0 – or “middle class” – unless they buy their Status up or down. 

To calculate how much money a character has for discretionary use each month, subtract his cost of living and that of noncontributing dependents from his monthly pay (see Jobs, below). 

In a campaign that does not use jobs, either subtract cost of living from the PCs’ adventuring income or ignore this rule entirely!

Cost of Living Table (per month)
Status	Examples	Cost of Living
8	Emperor, Godking, Overlord	600,000,000
7	King, Pope, President	60,000,000
6	Royal Family, Governor	6,000,000
5	Great Noble, Multinational Corporate Boss	600,000
4	Lesser Noble, Congressional Representative	60,000
3	Landed knight, guild master, big city mayor	12,000
2	Landless knight, mayor, business leader	3,000
1	Squire, merchant, priest, doctor, councilor	1,200
0	Freeman, apprentice, ordinary citizen	600
-1	Bondsman, poor citizen	300
-2	Serf, street person	100
Status 1 or higher gets you servants, in increasing quantities.

When living away from home, you must pay a daily cost of living equal to 20% of your usual monthly cost of living – but if you wish, you can live at one level below your Status without meaningful repercussions. 

Restaurant: 1% of cost of living for breakfast or lunch, or 2% for dinner, based on the Status of the restaurant’s typical patron. 
Travel Rations: 5% of cost of living for one week. Weighs 14 lbs. 
Liquor: 1% of cost of living per bottle.

Ordinary Clothes: One complete outfit, ranging in quality from castoff rags to designer fashions, depending on Status. At minimum: undergarments, plus a tunic, blouse, or shirt with hose, skirt, or trousers – or a long tunic, robe, or dress – and suitable footwear. 20% of cost of living; 2 lbs. 
Winter Clothes: As above, but heavier. Includes a hat or hood, boots, and (at TL6 or less) furs. 30% of cost of living; 4 lbs. 
Formal Wear: Your “best outfit,” which will usually include at least some accessories (hat, gloves, etc.) or jewelry. 40% of cost of living; 2 lbs
",-5,
Stress Atavism,"This disadvantage is normally available only to characters who are members of races “uplifted” from an animal state.

You temporarily “regress” when frightened, angered, fatigued, or injured. Make a self-control roll in those situations. On a failure, you behave like an animal, acting on impulse and instinct.

Once the stressful situation has passed, make a self-control roll every minute. If friends comfort you, roll at +2. If one of these people has Animal Empathy or Empathy, apply an additional +2. On a success, the attack ends and you return to normal. If you pass out from fatigue or injury before you succeed, you recover automatically when you wake up.

Point value depends on the severity of the attacks:

Mild: You have trouble speaking, and must roll vs. IQ to utter a sentence. You cannot operate complicated machinery, although you may attack wildly with weapons (-4 to hit). - 10 points.*

Moderate: You suffer from all of the above problems, and have trouble understanding commands from others as well: roll vs. IQ to understand a sentence spoken by someone else. If you are attacked or challenged, you must make a self-control roll to avoid acting “on instinct.” -15 points.*

Severe: You cannot speak or understand others, or use tools (except possibly as clubs), and automatically act on instinct at all times. You behave like your primitive ancestors! - 20 points.*

Stress Atavism may result in additional troublesome behavior. Pick a suitable mental disadvantage, halve its value (drop all fractions), and add this point cost to the above costs before applying the self-control multiplier.",,
Stubbornness,You always want your own way. Make yourself generally hard to get along with – roleplay it! Your friends may have to make a lot of Fast-Talk rolls to get you to go along with perfectly reasonable plans. Others react to you at -1.,-5,
Stuttering,"You suffer from a stammer or other speech impediment. This gives -2 on any reaction roll where conversation is required, and -2 to Diplomacy, Fast-Talk, Performance, Public Speaking, Sex Appeal, and Singing. Certain occupations (interpreter, newsreader, etc.) are always closed to you.",-10,
Supernatural Features,"You have disturbing features that mark you as a demon, vampire, or other supernatural being. You can pass for a normal mortal to casual observers, but closer inspection reveals that you are not quite right. This might give away your secret to the trained eye.

Supernatural Features differ from Unnatural Features (p. 22) in that they aren’t  usually obvious; they only become apparent under a specific set of circumstances. When they are noticed, though, they result in a reaction penalty. They also give those who know what to look for a bonus to any skill roll (against Hidden Lore, Occultism, etc.) made to identify your true nature.

Supernatural Features can accompany appearance levels Hideous through Transcendent (see  Physical Appearance, p. 21). You cannot get points for Supernatural Features if you are Monstrous or Horrific, however. If you look that scary, you’re not hiding any secrets!

No Body Heat: You are cold to the touch. -1 on reaction rolls made by those who touch you, shake your hand, kiss you, etc.; +1 on all rolls to deduce your secret. - 5 points (-1 point if you can gain warmth temporarily; e.g., after feeding, for a vampire).

No Reflection: You produce no reflection. You do not show up in mirrors, still water, and similar reflective surfaces, and technological devices such as cameras do not display your image. In some places and times, people will assume that you have no soul! -2 on reaction rolls made by those who notice; +2 on all rolls to deduce your secret. -10 points.

No Shadow: You produce no shadow, regardless of the intensity or direction of the light source. -2 on reaction rolls made by those who notice; +2 on all rolls to deduce your secret. - 10 points.

Pallor: You look like a corpse, with bloodless skin, sunken eyes, etc. -2 on reaction rolls made by anyone who can see you without makeup in good light; +2 on all rolls to deduce your secret. -10 points (-5 points if you can gain the flush of life temporarily; e.g., after feeding, for a vampire).",-5,
Supersensitive,"You are telepathically sensitive to the presence of others  all the time. You experience a constant, irritating buzz of low-level psychic noise. This does not imply any kind of useful telepathic ability – the thoughts and emotions you receive remain just below the threshold of conscious understanding.

If there are any sapient beings (IQ 6+) with 20 yards, you suffer -1 to DX and IQ. This becomes -2 for 10 or more people, -3 for 100 or more, -4 for 1,000 or more, and so on. If DX or IQ drops below half its original score because of this penalty, you collapse and can take no action until the “noise” goes away. Machine intelligences and individuals behind telepathic shielding (psionic, technological, or otherwise) do not bother you.

There is one beneficial side effect to Supersensitive: the psychic noise you receive warns you if there are people within 20 yards, and the noise level tells you roughly how many. The noise is too diffuse to let you determine their locations, however.",-15,
Susceptible,"You are extremely sensitive to a particular class of noxious items or substances; e.g., disease or poison. You have a penalty to all HT rolls to resist the negative effects of these things. You do not suffer extra damage, however; for that, see Vulnerability (p. 161).

If you are exposed to trace quantities of an item to which you are Susceptible – a dose so tiny that it would not affect most people – you must roll against HT+1, modified by your usual penalty for this disadvantage. If you fail, you suffer half the effects (fatigue, injury, attribute loss, period of incapacitation, etc.) you would suffer from a full dose. For instance, Susceptible to Poison would require a roll if you ingested highly diluted industrial waste in drinking water, while Susceptible to Disease would require a roll if you received a “live” vaccine (one that contains weakened microbes). Should there be any doubt as to exposure or effects, the GM’s decision is final.

Point cost depends on the item’s rarity in the environment:

Very Common (e.g., Disease, Poison): - 4 points/-1 to HT rolls.

Common (e.g., Bacteria, Gases): - 2 points/-1 to HT rolls.

Occasional (e.g., Intestinal Disease, Ingested Poison): - 1 point/-1 to HT rolls.

You may not take more than five levels of Susceptible to a given item, or more than two separate Susceptible disadvantages, without the GM’s permission. You cannot take more levels of Susceptible than would reduce your effective HT to 3. For instance, if your HT is 7, you are limited to four levels of Susceptible. If you have any form of Resistant (p. 80) that protects against a given item, you cannot also be Susceptible to that item.

This trait can simulate many common health problems. Use Susceptible to Disease for a weak immune system, Susceptible to Ingested Poison for a tendency not to vomit up noxious substances (a “weak vomit reflex”), etc.",,
Terminally Ill,"You are going to die . . . soon. This could be due to a nasty disease, a potent curse, an irremovable explosive device embedded in the base of your skull, or something else that will result in certain death. Point cost depends on how much time you have left:

Time Until Death	Cost
Up to one month	-100
Up to one year	-75
Up to two years	-50

More than two years is worth nothing. Anyone might be hit by a truck in that time!

If you acquire a “miracle cure,” upload yourself into a new body, or otherwise extend your life past your termination date during the course of the campaign, you must buy off this disadvantage. If you cannot afford to do so, the GM is free to make up the difference with new disadvantages related to your illness or its cure (e.g., Chronic Pain, Dependency, Maintenance, or Susceptible).

If the GM is running a one-shot adventure or short campaign, he should disallow this disadvantage as meaningless.",,
Timesickness,"Time travel, dimension travel, and teleportation make you ill. You cannot have psionic talents, magic spells, or technological skills that have to do with this kind of travel, nor can you learn the Body Sense skill. You must make a HT roll whenever you journey through time or across dimensions, and whenever you teleport. On a failure, you are effectively  stunned for 1d hours (doubled on a critical failure!). On a success, you are only stunned for 1dx10 minutes.

Timesickness is only allowed if dimension travel, teleportation, or time travel occur regularly in the  campaign. The GM may wish to permit a variation on this trait in settings with faster-than-light hyperdrives (“Hypersickness”) or jump drives (“Jump Sickness”).",-10,
Total Klutz,"You have an uncanny affinity for gross physical blunders. You do not necessarily have a low DX (you may have up to DX 13 and still select this trait) but you are more awkward than your DX would suggest. 

Total Klutz: As Klutz, but in addition, any failure on a DX roll or DXbased skill roll is considered a critical failure for you! -15 points. 

This trait might seem silly, but it need not be. Most realistic TL7-8 robots have this disadvantage!",-15,
Trademark,"You have a special symbol – something that you leave at the scene of action, as a way of “signing your work.” The classic fictional example is the carved initial “Z” of Zorro.

Simple: Your Trademark takes very little time to leave and cannot be used to trace your identity, but you absolutely must leave it. You cannot leave the scene until you do, even if your enemies are breaking down the door. A typical example is something left at the scene – a playing card, a small stuffed animal, etc. – as long as it can’t be traced and takes little time. - 5 points.

Complex: As above, but leaving your Trademark measurably increases your chances of being caught – initial carving, notes, traceable clues, etc. Leaving this sort of Trademark takes a minimum of 30 seconds. Anyone searching the scene receives +2 to Criminology and Forensics rolls to trace or identify you. - 10 points.

Elaborate: Your trademark is so elaborate – dousing the captured thugs with a certain cologne, painting the entire crime scene pink, writing a long poem to the police – that it virtually ensures your eventual capture. The GM may give investigators clues without  a successful Criminology or Forensics roll! - 15 points.

You may have only one Trademark. Multiple actions (e.g., binding your victims with purple phone wire, painting a frog on the wall, and wrecking every computer in the building) simply give you a higher level of Trademark – they are not multiple Trademarks.

Note also that a Trademark is an action separate from capturing the crooks, committing the crime, etc. It’s the particular way that it is done. Destroying files on a computer is not a Trademark; trashing them by substituting a “7” for each “5” is.",-5,
Trickster,"You crave the excitement of outwitting dangerous foes. This is not ordinary practical joking. Playing simple tricks on innocent or harmless folk is no fun at all – it has to be perilous! There may be no need for this at all (in fact, there probably isn’t), but you need the thrill of a battle of wits and dexterity.

Make a self-control roll each day. If you fail, you must try to trick a dangerous subject: a skilled warrior, a dangerous monster, a whole group of reasonably competent opponents, etc. If you resist, you get a cumulative -1 per day to your self-control roll until you finally fail a roll!",-15,TRUE
Truthfulness,"You hate to tell a lie – or you are just very bad at it. Make a self-control roll whenever you must keep silent about an uncomfortable truth (lying by omission). Roll at -5 if you actually have to tell a falsehood! If you fail, you blurt out the truth, or stumble so much that your lie is obvious. You have a permanent -5 to Fast Talk skill, and your Acting skill is at -5 when your purpose is to deceive.",-5,TRUE
Uncontrollable Appetite,"You consume something that you must obtain from other sapient beings through force or guile, and you have difficulty controlling your appetites. You must specify what it is you crave. This could be blood, “life force,” sex, or anything else the GM permits.

Whenever you have an opportunity to indulge, you must make a self-control roll. Roll at -2 if someone deliberately tempts you, or if the item you feed on is available in large quantities within range of your senses. If feeding would restore lost HP, this roll is at -1 per missing HP. If you fail, you must feed. Make a second self-control roll to stop feeding once you have had your fill. If you fail, you go into frenzy and overindulge, which could kill your victim.",-15,TRUE
Unfit,"You have worse cardiovascular health than your HT alone would indicate.

Unfit: You get -1 to all HT rolls to remain conscious, avoid death, resist disease or poison, etc. This does  not reduce your HT attribute or HT-based skills! As well, you lose FP at twice the normal rate.

In both cases, this disadvantage applies only to FP lost to exertion, heat, etc. It has no effect on FP “spent” to power psi or magic spells.",-5,
Unhealing,"You cannot heal naturally.  You get no daily HT roll to recover lost HP, and you cannot recuperate from crippling injuries on your own. The First Aid skill can stop your bleeding, but neither it nor the Physician skill can restore missing HP. Technologies that accelerate natural healing (including herbs, drugs, etc.) are useless. This trait comes in two levels:

Partial: You can heal naturally if a rare condition is met (e.g., when you are immersed in blood or bathed in lava). You can also heal yourself by stealing HP from others using Vampiric Bite (p. 96), magic, or psionics. - 20 points.

Total: You can never heal naturally, and you cannot steal HP from others. -30 points.

Depending on your nature, you might be able to regain lost HP and the use of crippled limbs unnaturally through surgery, repairs (if you’re a machine), or exotic means (healing spells, alchemy, psionics, etc.).",,
Unique,"You exist only in one timeline. If a time paradox occurs, you have no memory of it. If it is particularly severe, you are likely to vanish. In most settings, you would be unaware of this danger until it happened . . . and then nobody would even remember you! Thus, this disadvantage is usually inappropriate for PCs.

In an alternate-world campaign, being Unique means that you do not exist in any form in an alternate world, even one very much like your own. This deprives you of the chance to befriend “yourself” when you visit such a world. There is one benefit, though: you are effectively Zeroed (p. 100) at no point cost in any alternate world.

Unique is only a disadvantage in campaigns in which paradoxes or changes in history – erasing past events or whole timelines – are possible. See Temporal Inertia  (p. 93) for the opposite of this trait.",-5,
Unluckiness,"You have rotten luck. Things go wrong for you – and usually at the worst possible time. Once per play session, the GM will arbitrarily and maliciously make something go wrong for you. You miss a vital die roll, or the enemy (against all odds) shows up at the worst possible time. If the plot of the adventure calls for something bad to happen to someone, it’s you. The GM may not kill you outright with “bad luck,” but anything less than that is fine. (For lethally bad luck, see Cursed, p. 129.)

If you wish, you may specify a recurring “theme” for your Unluckiness – for instance, your weapons tend to break, you’re always 5 minutes late, or objects have a nasty habit of falling on your head. The GM should do his best to make your Unluckiness work this way. However, this is a characterization tool and not a hard-and-fast game mechanic. Bad luck can always manifest in other ways if the GM wants to keep you on your toes!",-10,
Unnatural Features,"You are superficially “normal” but have one or more disturbing cosmetic features. To qualify for points, these must be unnatural for your race. Pointed ears and eyes like hot coals would be unnatural for a human, but not for a demon from Hell! You must specify the origin of your Unnatural Features: magical curse, ultra-tech surgery, rare disease, etc. 

Unnatural Features need not be unattractive (if they are, you can also claim points for below-average appearance), but they make it easy for others to identify you and hard for you to blend into a crowd. Each level, to a maximum of five levels, gives -1 to your Disguise and Shadowing skills and +1 to others’ attempts to identify or follow you (including their Observation and Shadowing rolls), unless almost everyone else in the crowd happens to share your features",-1,
Unusual Biochemistry,"You can subsist on human food, but your biochemistry is sufficiently different from that of humans that drugs intended for humans don’t work or have unpredictable effects. Drugs that are specific to your biochemistry work normally, but cost 10 times as much as usual.

When you receive a drug intended for humans, roll 1d:

1-3 – Normal effect.

4-5 – Normal effect, plus an additional harmful effect of the GM’s choosing: lose 1d FP (sickness and nausea), suffer an amplified version of the drug’s usual negative side effects, etc.

6 – No effect at all.",-5,
