spell,spell_class,description,duration,cost_to_cast,cost_to_maintain,time_to_cast,prerequisites,difficulty,spell_college,item_enchantment
Steam Jet,Regular,"Shoot a thin jet of scalding steam from one finger. Each turn, the caster rolls versus DX-4 or Innate Attack skill to hit. This attack may be dodged or blocked, but not parried. It does knockback on all targets in addition to its regular damage; it does double damage to creatures of flame or ice. It can extinguish normal fire within an area 1 yard in radius. If the spell strikes the target’s face, it temporarily blinds him unless he makes a HT roll.

If the HT roll is failed, each energy point in the spell blinds the target for one second. After the target can see again, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds. On a critically failed HT roll, the target is blinded for 1d seconds per point of energy in the spell. On a successful HT roll, the victim covers his eyes for one second and is therefore unable to see for one turn. On a critical success, the victim is unaffected.",1 second,1 to 3. Does 1d-1 of scalding damage for every point put into it. Range is equal to the number of dice.,Same,,Water Jet and Boil Water.,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 700; the staff or wand must be tipped by a $300 Carnelian."
Acid Ball,Missile,"Throw a ball of acid from one hand. When it strikes something, it bursts, inflicting acid damage. It has 1/2D 20, Max 40, Acc 1; use the Innate Attack skill.",,"Any amount up to your Magery lever per second, for three seconds. The Acid Ball does 1d damage per energy point.",,1 to 3 seconds,Magery 2 and Create Acid.,Hard,Water,"Staff or wand – the missile is fired from the tip of the item. Usable only by mages.
Energy cost to create: 300."
Acid Jet,Regular,"Shoot a jet of acid from one hand. Each turn, the caster rolls against DX-4 or Innate Attack skill to hit. The jet may be dodged, but not parried or blocked. The jet does knockback as per Snow Jet; if the jet strikes the face, the acid may blind the victim as detailed on p. B428.


Another substance that falls within the College of Water is acid. In nature, acids come in a variety of strengths; acid spells, however, assume a uniform potency of acid. “Acid,” for magical purposes, includes highly alkaline corrosive solutions.
Splashing someone with acid does 1d-3 points of corrosive damage; immersion in acid does 1d-1 points corrosive damage per turn. Each gallon of acid can cause 8 points of damage before becoming neutralized into an inoffensive salty solution. Armor does protect against acid damage, but the acid will corrode away 1 point of DR for every 5 points of damage done in a single second.

Objects (including armor!) are also attacked by contact with acid. If acid splashes a victim’s face, he must roll vs. HT to avoid blinding. On a failure, he takes acid damage to the eyes, and if more than 2 points are inflicted, the victim is blinded (see Crippling Injury, pp. B420-422). A critical failure causes permanent Blindness.

Water spells affect acid normally. In steam form, acid does the higher of its scalding and burning damage, not both. Magical acid attacks all substances but glass, most stone, and certain metals.",1 second,1 to 3. Does 1d-1 of damage for every point used. Range is equal to the number of dice.,Same,,"Magery 2, Water Jet, and Create Acid.",Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 400."
Rain of Ice Daggers,Area,"Ice Daggers rain from the sky onto the area, causing 1d-2 impaling damage per second to all within it. Characters and creatures under the Rain of Ice Daggers take damage on their own turns; if less than an entire second is spent in the affected area, damage is halved (round down).

The spell can only be cast out of doors. Armor protects in the usual fashion. A shield with a DB of 2 or better can be held overhead to block the ice, but it may take damage (p. B484). This requires two hands and a Ready action, and succeeds automatically in protecting the character once the shield is readied upwards, but this unreadies the shield from its normal protective functions! Inanimate objects such as buildings protect with their DR.",1 minute,"1 (minimum 2). For double base cost, the Rain of Ice Daggers does 1d per second!",,,"Magery 2, Hail, and Ice Dagger.",Hard,Water,"Staff. Usable only by mages.
Cost to create: 800 energy and a $1,000 sapphire."
Icy Breath,Regular,"The caster expels a deadly hail of ice and cold air from his mouth. The caster rolls to hit against DX-4 or Innate Attack skill. This counts as an attack; it can be dodged or blocked, but not parried. The caster must be facing his target. No hand gestures are required to cast this spell; certain lip and tongue motions are made instead. Thus, Icy Breath can be cast “no hands” at any level of skill.",1 second,1 to 4. Does 1d+1 damage for every point of energy in the spell.,,2 seconds,"Magery 1, Snow Jet, and Resist Cold.",Very Hard,Water,"Jewelry. Usable only by mages.
Cost to create: 400 energy and a $500 sapphire."
Breathe Steam,Regular,"Similar to Steam Jet, except that the steam issues from the caster’s mouth, Breathe Steam cannot be maintained, and each energy point buys 1d damage instead of 1d-1. Caster rolls to hit against DX-2 or Innate Attack skill. This counts as an attack; it may be dodged or blocked, but not parried. The caster must be facing his target. No hand gestures are required to cast this spell; certain lip and tongue motions are made instead.
Thus, Breathe Steam can be cast “no hands” at any level of skill.",1 second,1 to 4.,,2 seconds,"Magery 1, Steam Jet, and Resist Fire.",Very Hard,Water,"Jewelry. Usable only by mages.
Cost to create: 1,000 energy and a $500 carnelian."
Spit Acid,Regular,"Similar to Acid Jet, except that the acid issues from the caster’s mouth, Spit Acid cannot be maintained, and each energy point buys 1d damage instead of 1d-1. Caster rolls to hit against DX-2 or Innate Attack skill (p. B201). This counts as an attack; it may be dodged or blocked, but not parried. The caster must be facing his target. No hand gestures are required to cast this spell; certain lip and tongue motions are made instead.
Thus, Spit Acid can be cast “no hands” at any level of skill.",1 second,1 to 4.,,2 seconds,"Magery 3, Acid Jet, and Resist Acid.",Very Hard,Water,"Jewelry. Usable only by mages.
Energy cost to create: 400."
Essential Acid,Regular,"Turns regular acid into the magical essence of acid. No substance is immune to its bite, and it inflicts three times as much damage before being neutralized. Essential Water or Flame, in like quantity, will nullify Essential Acid. If frozen with the Freeze spell, it is harmless until thawed.
At the GM’s option, this spell may produce alkahest (p. 220).",Permanent until neutralized.,8 per gallon.,,,Magery 3 and all six Acid spells.,Very Hard,Water,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 1,100."
Repel (Animal) Subject,Special; Area,"Repels animals from an area around the subject. The spell resists attempts by animals to
enter it (or stay in it) every second; roll a Quick Contest between the caster’s
effective skill and the Animal’s ST.
Like (Animal) Control, this is actually several different spells. There is a
Repel (Animal) Subject spell for each category of animal. Like all Area spells, the
affected area extends 4 yards upward (an important detail for flying animals
such as bats or birds). Casters may extend the area upward by spending
proportionately more energy; double base cost will create an area 8 yards
high, and so on. Beings with Animal Empathy may feel uneasy and irritable
while in the affected area.
The caster may exclude specific animals from the spell’s effect at the
time of casting; thus, a shepherd may drive off wolves without driving away
his flock.
",1 hour,Base cost: Equal to 2x the cost to cast (Animal) Control for the affected animal type.,,10 seconds,"The Repel (Animal) spell appropriate to the type of animal
to be repelled.",Hard,Animal,"Staff, wand, or jewelry.
Can be made permanently repellent at an energy cost of 100 times normal."
Thousand-Legged Demise,Regular; Resisted by Will,"Briefly transforms the subject into a seething swarm of small, mindless creatures. The magic is highly unstable and doesn’t impart a group mind – rather than stay in a cohesive horde, the critters crawl, fly, or swim in all directions. The spell collapses a second later, leaving gobbets of the victim’s dead body scattered across a radius equal to his Move (or on interior walls, if contained), with a few surviving creepy-crawlers dining on the carrion. There’s one possible way to save the victim: Someone who casts Vermin Control on the subject immediately (on his first turn after Thousand-Legged Demise is cast) may roll a Quick Contest against the effective skill level of this spell. Victory keeps the swarm in one place, allowing the subject to reform unharmed. Whatever happens, if transformation occurs, the subject’s possessions aren’t affected and end up on the ground.
",1 second,"11. Must affect the entire subject, not just part of it!",,5 seconds,"Magery 3, Vermin Control, and any one Shapeshift Others spell.",Very Hard,Animal,
True Disintegrate,Regular,"Similar to Shatter, but leaves only dust (cannot be repaired!).
If damage rolled doesn’t destroy the subject, then only the part hit is affected. This spell affects inanimate and living creatures alike, and can affect parts of objects
DR and HP of common objects",Permanent,1 to 4; does 1d damage for each point of energy put into it.,,,Disintegrate and Burning Death,Very Hard,Necromancy,"As for Shatter.
Energy cost to create: 1,500."
Disintegration Beam,Regular,"Shoot a beam of antimatter from one hand. Each turn, the caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if he hits. This attack may be dodged or blocked, but not parried. The caster may cast the spell as many times as he has hands and emit a Disintegration Beam from each hand; a Disintegration Beam from the caster’s “off” hand suffers the usual -4 penalty to hit.

Only dust and ashes remain (objects cannot be repaired!). If damage
rolled doesn’t destroy the subject, then only the part hit is affected. This spell affects inanimate and living creatures alike, and can affect parts of objects.
DR and HP of common objects",1 second,2 to 8 points. Does 1d (2) damage for every 2 points put into the spell. The beam's range in yards is equal to 3x the number of dice.,Same,,"Flame Jet, Burning Death, Disintegrate.",Very Hard,Necromancy,"Wand, staff, or glove.
Energy cost to create: 2000.
Usable only by mages."
Severing Beam,Regular,"Shoot a wide but thin beam of antimatter from one hand. Each turn, the caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if he hits. This attack may be dodged or blocked, but not parried. The caster may cast the spell as many times as he has hands and emit a Severing Beam from each hand; a Severing Beam from the caster’s “off” hand suffers the usual -4 penalty to hit.

If the subject's limb/extremity/neck is hit and crippled, it is instead cut off. If this spell kills the target, they are cut in half. If an object is hit and would be destroyed, it is instead cut in half.
If damage rolled doesn’t destroy the subject, then only the part hit is affected. This spell affects inanimate and living creatures alike, and can affect parts of objects and beings.
DR and HP of common objects",1 second,1 to 4 points. Does 1d (2) damage for every point put into the spell. The beam's range in yards is equal to 3x the number of dice.,Same,,Disintegration Beam,Very Hard,Necromancy,"Wand, staff, or glove.
Energy cost to create: 2600.
Usable only by mages."
Seeking Severing Discs,Missile,"Shoot up to 6 discs of antimatter from one hand. The caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if they hit.

You steer your attack to the target using your own skill. This lets you ignore all range penalties to hit! If the target is so distant that your attack needs multiple turns to reach it, you must take a Concentrate maneuver each turn. If you lose sight of the target while the attack is en route, your attack automatically misses.
This attack has a speed of 25, and it does not lose damage over a distance.

If the subject's limb/extremity/neck is hit and crippled, it is instead cut off. If this spell kills the target, they are cut in half. If an object is hit and would be destroyed, it is instead cut in half.
If damage rolled doesn’t destroy the subject, then only the part hit is affected. This spell affects inanimate and living creatures alike, and can affect parts of objects and beings.
DR and HP of common objects",,"Any amount up to 2x your Magery level. Each point you put into the spell creates another severing disc that does 1d (2) damage if it hits. This spell has a Rate of Fire (RoF) of 5, and a Recoil of 1.",,,Disintegration Beam,Very Hard,Necromancy,"Staff or wand – the bolts are fired from the end of the item.
Energy cost to create: 2600. Usable only by mages."
Soul Pressure Wave,Area; Resisted by Will,"A rolling wave of spiritual pressure erupts off of you in every direction.
Small objects nearby begin to levitate, while the ground cracks beneath the pressure.

Subjects feel an immense pressure crushing their soul; they can roll vs. WILL each second to recover; on a critical failure, or a failure by 5 or higher the subject is also physically stunned.
They must make a second WILL roll to avoid crying out.  If a subject is in the middle of a spell, they must roll vs. Will or start over.

Anyone with Magery can sense your general location within 1 mile; add a zero per level of Magery to the 1 (e.g. Magery 2 can sense you within 100 miles).",1 second,"Base Cost: Any amount up to your Magery Level per 3 yard radius.
The subject(s) Movement, DX and all DX-based skills are reduced by the Base Cost while they are within the area.",Same,1 second,"Stun, Repel Spirits, Magery 2 and at least 25 spells or Trained by a Master & Chi Projection or a Psionic Discipline.",Hard,Necromancy,
Fatal Energy Drain,Regular,"A yellow beam that suffuses the target, killing them if they cannot provide the energy to resist.

If struck, the target dies instantly if they have less than 3 fatigue. Otherwise the yellow energy suffuses them then vanishes causing no harm.
",Instantaneous,5 points. The beam's range is 8 yards.,,,"Sleep, Steal Vitality, Magery 2, and 4 Body Control spells.",Hard,Necromancy,"Wand, staff, or glove.
Energy cost to create: 2000.
Usable only by mages."
Area Hardiness,Blocking,"An instantaneous and Area version of the Armor spell – adds to the Damage
Resistance of the area for one attack. This spell is not cumulative
with Armor – only the stronger spell applies. Remember that only one
Blocking spell may be cast in a turn. A mage cannot follow up a failed Iron
Arm with an Area Hardiness spell, for instance.",,Base Cost: 2 per point of DR (maximum of 5).,,,Hardiness,Hard,Protection and Warning,
Area Block,Blocking,"An instantaneous and Area version of the Shield spell – adds to the area's DB
for a single defense roll. This spell is not cumulative with the effects of
Shield – use the highest value.",,2 per point of DB (maximum of 5).,,,"Magery 1, Block",Hard,Protection and Warning,
Area Shield,Regular,"Conjures an invisible shield of magical force that moves to protect the area centered on the subject from frontal attacks. The Defense Bonus granted by this spell is cumulative with that from an actual shield, but this spell does not allow a subject without a shield to block. Defense Bonus granted by Shield is not cumulative with any granted by Block (p. 166).",1 minute,"Base Cost: Four times the Defense Bonus given to the subject, to a maximum DB of 4
(cost 16).",Half,,"Magery 2, Shield",Hard,Protection and Warning,
Area Armor,Regular,"Adds to the Damage Resistance of the living beings in an area centered on the subject. DR from this spell is
treated for all purposes like DR from armor, and is cumulative with that
from actual armor.",1 minute,"Four times the Damage Resistance given to the subject, to a maximum
DR of 5 (cost 20).",Half,,Armor,Hard,Protection and Warning,
Flame Armor,Regular,"Adds to the Damage Resistance of a living subject. DR from this spell is
treated for all purposes like DR from armor, and is cumulative with that
from actual armor. This spell only adds DR against fire attacks.",1 minute,"The Damage Resistance given to the subject, to a maximum
DR of 5 (cost 5).",Half,,"Shield, Deflect Energy",Hard,Protection and Warning,
Frost Armor,Regular,"Adds to the Damage Resistance of a living subject. DR from this spell is
treated for all purposes like DR from armor, and is cumulative with that
from actual armor. This spell only adds DR against cold attacks.",1 minute,"The Damage Resistance given to the subject, to a maximum
DR of 5 (cost 5).",Half,,"Shield, Heat, Apportation.",Hard,Protection and Warning,
Acid Armor,Regular,"Adds to the Damage Resistance of a living subject. DR from this spell is
treated for all purposes like DR from armor, and is cumulative with that
from actual armor. This spell only adds DR against acid attacks.",1 minute,"The Damage Resistance given to the subject, to a maximum
DR of 5 (cost 5).",Half,,"Shield, Create Water.",Hard,Protection and Warning,
Cone of Flame,Regular,"Emits a wide cone of flame from the caster's hand. Each turn, roll against Innate Attack or DX-4 to hit, using the Cone rules on B413. Any targets within the area take burning damage. The caster may cast this spell as many times as he has hands; cones wielded in the 'off hand' have the usual -4 penalty to hit.",1 second,4 to 6 points. Deals 1d burning damage for every 2 full points of energy put into the spell. The cone has a maximum range and maximum width equal to half the energy put into the spell.,Same,,Flame Jet,Hard,Fire,"Jewelry, gloves.
Energy cost to create: 1200; must include $600 worth of gold and a $400 ruby.
Usable only by mages."
Flame Beam,Regular,"Shoot an intense beam of flame from one hand. Each turn, the caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if he hits. This attack may be dodged or blocked, but not parried. The caster may cast the spell as many times as he has hands and emit a Flame Beam from each hand; a Flame Beam from the caster’s “off” hand suffers the usual -4 penalty to hit.",1 second,2 to 6 points. Does 1d (2) damage for every 2 points put into the spell. The beam's range in yards is equal to 3x the number of dice.,Same,,Flame Jet,Hard,Fire,"Jewelry, wand.
Energy cost to create: 1600; must include $700 worth of gold and a $500 ruby.
Usable only by mages."
Incineration Rays,Regular,"Shoot 5 rays of high-intensity heat from one hand. The caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if they hit. This attack may be dodged or blocked, but not parried.
This spell is likely to ignite flammable targets.",,"Any amount up to your Magery level. Each ray that hits does 1d-2 damage for each point put into the spell. This spell has a Rate of Fire (RoF) of 5, and a Recoil of 1.",,,Flame Jet,Hard,Fire,"Staff, or wand – the rays are fired from the end of the item.
Energy cost to create: 1200; must include $600 worth of gold and a $400 ruby.
Usable only by mages."
Seeking Firebolts,Missile,"Shoot up to 6 bolts of fire from one hand. The caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if they hit.
This spell is likely to ignite flammable targets.

You steer your attack to the target using your own skill. This lets you ignore all range penalties to hit! If the target is so distant that your attack needs multiple turns to reach it, you must take a Concentrate maneuver each turn. If you lose sight of the target while the attack is en route, your attack automatically misses.
This attack has a speed of 25, and it does not lose damage over a distance.",,"Any amount up to 2x your Magery level. Each point you put into the spell creates another firebolt that does 1d-3 damage if it hits. This spell has a Rate of Fire (RoF) of 5, and a Recoil of 1.",,,"Magery 1, Create Fire, and Shape Fire.",Hard,Fire,"Staff or wand – the bolts are fired from the end of the item.
Energy cost to create: 800; must include a ruby worth $400. Usable only by mages."
Firestorm Sphere,Missile,"Create a 1 yard sphere of swirling flames that hangs in the air. Once shaped, the flame keeps that shape until the spell expires, without concentration. Moving the sphere requires constant concentration (the sphere moves at Move 5, on the caster’s turn). The sphere inflicts burning damage to all within it. Creatures in the sphere take damage on their own turns. If less than an entire second is spent in the affected sphere, damage is halved (round down).
This spell is likely to ignite flammable targets.",10 seconds,"Any amount up to your Magery level per second, for three seconds. The sphere does 2d burning damage per energy point.",,1 to 3 seconds,"Fireball, Shape Air",Hard,Fire,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 600; must include a ruby worth $400."
Flaming Shockwave,Regular,"An explosion of fire erupts off of you, not harming you, but burning in every direction.
Anyone closer to you than one yard takes full damage. Those further away divide damage by three times
their distance in yards (round down).",,"Any amount up to twice your Magery level per second, for three seconds. The shockwave does 2d burning damage per full 2 points of energy",,1 to 3 seconds,Explosive Fireball or Cone of Flame,Hard,Fire,"Staff or wand – the bolt is fired from the end of the item.
Energy cost to create: 1,200; must include a ruby worth $500. Usable only by mages."
Cone of Frost,Regular,"Emits a wide cone of snow and frost from the caster's hand. Each turn, roll against Innate Attack or DX-4 to hit, using the Cone rules on B413.  It does knockback on all targets and damage to creatures of flame; it can knock down or kill even large swarms of flying creatures. It extinguishes normal fire within its radius.

Targets may also be blinded; make a roll at HT+3 or be temporarily blinded as snow hits the face. If the HT roll fails, every 2 energy points put into the spell blind the target for one second. After vision is regained, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds.
On a critically failed HT roll, the target is blinded for 1d seconds for every 2 full energy points put into the spell; a successful HT roll means the target is unaffected by blindness.

The caster may cast this spell as many times as he has hands; cones wielded in the 'off hand' have the usual -4 penalty to hit.",1 second,4 to 6 points. Deals 1d knockback for every 2 full points of energy put into the spell. The cone has a maximum range and maximum width equal to half the energy put into the spell.,Same,,Snow Jet,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 1000; the staff or wand must be tipped by a $600 sapphire."
Frost Beam,Regular,"Shoot an intense beam of ice shards and frost from one hand. Each turn, the caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if he hits. This attack may be dodged or blocked, but not parried. The caster may cast the spell as many times as he has hands and emit a Frost Beam from each hand; a Frost Beam from the caster’s “off” hand suffers the usual -4 penalty to hit.
It does knockback on all targets and damage to creatures of flame; it can knock down or kill even large swarms of flying creatures. It extinguishes normal fire within its radius.

Targets may also be blinded; make a roll at HT+3 or be temporarily blinded as snow hits the face. If the HT roll fails, every 2 energy points put into the spell blind the target for one second. After vision is regained, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds.
On a critically failed HT roll, the target is blinded for 1d seconds for every 2 full energy points put into the spell; a successful HT roll means the target is unaffected by blindness.",1 second,2 to 6 points. Deals 1d-3 (2) and 1d knockback for every 2 points put into the spell. The beam has a maximum range equal to 5x the energy put into the spell.,Same,,Snow Jet,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 1400; the staff or wand must be tipped by a $700 sapphire."
Frigid Rays,Regular,"Shoot 5 rays of high-intensity cold from one hand. Each turn, the caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if they hit. This attack may be dodged or blocked, but not parried.",,"Any amount up to your Magery level. Each ray that hits does 1d-2 damage for each point put into the spell. This spell has a Rate of Fire (RoF) of 5, and a Recoil of 1.",,,Snow Jet,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 1000; the staff or wand must be tipped by a $600 sapphire.
Usable only by mages."
Seeking Iceshards,Missile,"Shoot up to 6 shards of ice from one hand. The caster rolls versus DX- 4 or Innate Attack skill to hit, and rolls for damage if they hit. 5 ice shards can also extinguish fire in a 1-yard radius

You steer your attack to the target using your own skill. This lets you ignore all range penalties to hit! If the target is so distant that your attack needs multiple turns to reach it, you must take a Concentrate maneuver each turn. If you lose sight of the target while the attack is en route, your attack automatically misses.
This attack has a speed of 40, Acc 2 and it does not lose damage over a distance.",,"Any amount up to 2x your Magery level. Each point you put into the spell creates another ice shard that does 1d-3 damage if it hits. This spell has a Rate of Fire (RoF) of 5, and a Recoil of 1.",,,"Magery 1, Create Water, and Shape Water.",Hard,Water,"Staff or wand – the ice shards are fired from the end of the item.
Energy cost to create: 800; must include a sapphire worth $400. Usable only by mages."
Blizzard Sphere,Missile,"Create a 1 yard sphere of swirling ice and frost that hangs in the air. Once shaped, the frost storm keeps that shape until the spell expires, without concentration. Moving the sphere requires constant concentration (the sphere moves at Move 5, on the caster’s turn). The sphere inflicts cold damage to all within it. Creatures in the sphere take damage on their own turns. If less than an entire second is spent in the affected sphere, damage is halved (round down).",10 seconds,"Any amount up to your Magery level per second, for three seconds. The sphere does 2d cold damage per energy point.",,1 to 3 seconds,"Ice Sphere, and Shape Air",Hard,Water,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 600; must include a sapphire worth $400."
Frost Shockwave,Regular,"An explosion of ice and frost erupts off of you, not harming you, but exploding in every direction.
Anyone closer to you than one yard takes full damage. Those further away divide damage by three times
their distance in yards (round down). It does knockback on all targets and damage; it can knock down or kill even large swarms of flying creatures. It extinguishes normal fire within its radius.
",,"Any amount up to twice your Magery level per second, for three seconds. The shockwave does 1d knockback and 1d cold damage per full 2 points of energy.",,1 to 3 seconds,Cone of Frost,Hard,Water,"Staff or wand – the bolt is fired from the end of the item.
Energy cost to create: 1,200; must include a sapphire worth $500. Usable only by mages."
Cone of Acid,Regular,"Emits a wide cone of acid from the caster's hand. Each turn, roll against Innate Attack or DX-4 to hit, using the Cone rules on B413. It does knockback on all targets.

Targets may also be blinded; make a roll at HT+3 or be blinded as acid hits the face. If the HT roll fails, damage is to their eyes. Use the Crippling Injury rules (p. 420) to see whether they are blinded – and if so, whether the blindness is permanent.
On a critical failure, permanent blindness is certain (acquire the Blindness disadvantage, p. 124).

The caster may cast this spell as many times as he has hands; cones wielded in the 'off hand' have the usual -4 penalty to hit.",1 second,4 to 6 points. Deals 1d-1 damage for every 2 full points of energy put into the spell. The cone has a maximum range and maximum width equal to half the energy put into the spell. ,Same,,Acid Jet,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 800."
Acid Sphere,Missile,"Create a 1 yard sphere of swirling acid that hangs in the air. Once shaped, the acid keeps that shape until the spell expires, without concentration. Moving the sphere requires constant concentration (the sphere moves at Move 5, on the caster’s turn). The sphere inflicts corrosive damage to all within it. Creatures in the sphere take damage on their own turns. If less than an entire second is spent in the affected sphere, damage is halved (round down).

Targets may also be blinded; make a roll at HT+3 or be blinded as acid hits the face. If the HT roll fails, damage is to their eyes. Use the Crippling Injury rules (p. 420) to see whether they are blinded – and if so, whether the blindness is permanent.
On a critical failure, permanent blindness is certain (acquire the Blindness disadvantage, p. 124).",10 seconds,"Any amount up to your Magery level per second, for three seconds. The sphere does 2d acid damage per energy point.",,1 to 3 seconds,"Acid Ball, and Shape Air",Hard,Water,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 600."
Acid Shockwave,Regular,"An explosion of acid erupts off of you, not harming you, but exploding in every direction.
Anyone closer to you than one yard takes full damage. Those further away divide damage by three times
their distance in yards (round down). It does knockback on all targets.

Targets may also be blinded; make a roll at HT+3 or be blinded as acid hits the face. If the HT roll fails, damage is to their eyes. Use the Crippling Injury rules (p. 420) to see whether they are blinded – and if so, whether the blindness is permanent.
On a critical failure, permanent blindness is certain (acquire the Blindness disadvantage, p. 124).",,"Any amount up to twice your Magery level per second, for three seconds. The shockwave does 2d-2 acid damage per full 2 points of energy.",,1 to 3 seconds,Cone of Acid,Hard,Water,"Staff or wand – the bolt is fired from the end of the item.
Energy cost to create: 1,200. Usable only by mages."
Cone of Steam,Regular,"Emits a wide cone of steam from the caster's hand. Each turn, roll against Innate Attack or DX-4 to hit, using the Cone rules on B413.
It does knockback on all targets in addition to its regular damage; it does double damage to creatures of flame or ice. It can extinguish normal fire within an area 1 yard in radius.

Targets may also be blinded; make a roll at HT+3 or be temporarily blinded as steam hits the face. If the HT roll fails, every 2 energy points put into the spell blind the target for one second. After vision is regained, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds.
On a critically failed HT roll, the target is blinded for 1d seconds for every 2 full energy points put into the spell; a successful HT roll means the target is unaffected by blindness.",1 second,4 to 6 points. Deals 1d-1 scalding damage for every 2 full points of energy put into the spell. The cone has a maximum range and maximum width equal to half the energy put into the spell. ,Same,,Steam Jet,Hard,Water,"Staff or wand. Usable only by mages. The jet issues from the item’s tip.
Energy cost to create: 1100; the staff or wand must be tipped by a $400
Carnelian."
Steam Sphere,Missile,"Create a 1 yard sphere of howling steam that hangs in the air. Once shaped, the steam keeps that shape until the spell expires, without concentration. Moving the sphere requires constant concentration (the sphere moves at Move 5, on the caster’s turn). The sphere inflicts scalding damage to all within it. Creatures in the sphere take damage on their own turns. If less than an entire second is spent in the affected sphere, damage is halved (round down).

 It does knockback on all targets in addition to its regular damage; it does double damage to creatures of flame or ice. It can extinguish normal fire within its area.

Targets may also be blinded; make a roll at HT+3 or be temporarily blinded as steam hits the face. If the HT roll fails, every 1 energy points put into the spell blind the target for one second. After vision is regained, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds.
On a critically failed HT roll, the target is blinded for 1d seconds for every 1 full energy points put into the spell.
On a successful HT roll, the victim covers his eyes for one second and is therefore unable to see for one turn. On a critical success, the victim is unaffected.",10 seconds,"Any amount up to your Magery level per second, for three seconds. The sphere does 2d scalding damage and 1d knockback per energy point.",,1 to 3 seconds,"Steam Jet, and Shape Air",Hard,Water,"Staff, wand, or jewelry. Usable only by mages.
Energy cost to create: 600; must include a carnelian worth $400."
Steam Shockwave,Regular,"An explosion of steam and scalding vapors erupts off of you, not harming you, but exploding in every direction.
Anyone closer to you than one yard takes full damage. Those further away divide damage by three times
their distance in yards (round down).
It does knockback on all targets in addition to its regular damage; it does double damage to creatures of flame or ice. It can extinguish normal fire within an area 1 yard in radius.

Targets may also be blinded; make a roll at HT+3 or be temporarily blinded as steam hits the face. If the HT roll fails, every 2 energy points put into the spell blind the target for one second. After vision is regained, blurry vision will put him at a -3 penalty to combat skills for a further 1d seconds.
On a critically failed HT roll, the target is blinded for 1d seconds for every 2 full energy points put into the spell; a successful HT roll means the target is unaffected by blindness.",,"Any amount up to twice your Magery level per second, for three seconds. The shockwave does 2d-2 scalding damage per full 2 points of energy.",,1 to 3 seconds,Cone of Steam,Hard,Water,"Staff or wand – the bolt is fired from the end of the item.
Energy cost to create: 1,200; must include a carnelian worth $500. Usable only by mages."
Cone of Water,Regular,"Emits a wide cone of water from the caster's hand. Each turn, roll against Innate Attack or DX-4 to hit, using the Cone rules on B413.
It does knockback on all targets in addition to its regular damage; it does damage to creatures of flame; it can kill or knock down flying swarm creatures. It can extinguish normal fire within an area 1 yard in radius.

Anyone hit in the face by a Cone of Water is at a -3 penalty to combat skills next turn for every 2 points of energy put into the cone.",1 second,4 to 6 points. Deals 1d knockback for every 2 full points of energy put into the spell. The cone has a maximum range and maximum width equal to half the energy put into the spell. ,Same,,Water Jet,Hard,Water,"Staff, wand, or jewelry. Usable only by mages. If the item is a wand or
staff, it must have a blue tip (or a bluejeweled tip); the jet comes from the tip.
Energy cost to create: 1000."
Water Shockwave,Regular,"An explosion of water erupts off of you, not harming you, but exploding in every direction.
Anyone closer to you than one yard takes full damage. Those further away divide damage by three times
their distance in yards (round down).
It does knockback on all targets in addition to its regular damage; it does damage to creatures of flame; it can kill or knock down flying swarm creatures. It can extinguish normal fire within an area 1 yard in radius.

Anyone hit in the face by a Water Shockwave is at a -3 penalty to combat skills next turn for every 2 points of energy put into the cone.",,"Any amount up to twice your Magery level per second, for three seconds. The shockwave does 1d knockback damage per full 2 points of energy.",,1 to 3 seconds,Cone of Water,Hard,Water,"Staff or wand – the bolt is fired from the end of the item.
Energy cost to create: 1,200; If the item is a wand or staff, it must have a blue tip (or a bluejeweled tip). Usable only by mages."
